coeff_scale,area_scale,total_tCO2e,gt_tCO2e,pct_error,abs_pct_error
1.3,1.2,347267124.0973712,226701638.598256,53.18244995695536,53.18244995695536
1.25,1.2,333910696.24747235,226701638.598256,47.29081726630323,47.29081726630323
0.7,0.8,124659993.265723,226701638.598256,-45.01142822058013,45.01142822058013
1.2000000000000002,1.2,320554268.39757353,226701638.598256,41.39918457565114,41.39918457565114
0.75,0.8,133564278.49898896,226701638.598256,-41.0836730934787,41.0836730934787
0.7999999999999999,0.8,142468563.73225486,226701638.598256,-37.15591796637729,37.15591796637729
1.15,1.2,307197840.54767454,226701638.598256,35.50755188499897,35.50755188499897
0.85,0.8,151372848.9655208,226701638.598256,-33.22816283927587,33.22816283927587
0.7,1.0,155824991.58215374,226701638.598256,-31.264285275725168,31.264285275725168
1.1,1.2,293841412.69777566,226701638.598256,29.615919194346844,29.615919194346844
0.9,0.8,160277134.19878674,226701638.598256,-29.300407712174444,29.300407712174444
1.3,1.0,289389270.0811427,226701638.598256,27.65204163079614,27.65204163079614
