building_type,lognormal_mu_log,lognormal_sigma_log,median_kgCO2e_per_m2,mean_kgCO2e_per_m2,p05_kgCO2e_per_m2,p95_kgCO2e_per_m2,role
residential_rc,6.204506744763432,0.2107017854233183,494.9747468305831,506.0848616284313,349.9999999999999,699.9999999999998,"screening prior, literature-envelope approximation"
commercial,6.508501430873251,0.24272910860205785,670.8203932499366,690.8758503303014,449.99999999999966,999.9999999999998,"screening prior, literature-envelope approximation"
industrial,5.804117822387276,0.30750484775012193,331.66247903553983,347.7199582288597,199.99999999999991,549.9999999999998,"screening prior, literature-envelope approximation"
