label,n_rows,floor_area_m2,mean_tCO2e,p05_tCO2e,p50_tCO2e,p95_tCO2e,event_mean_median_tCO2e,event_mean_p95_tCO2e,event_mean_max_tCO2e,sample_fraction
full_inventory,76042,4282417.473128195,2181481.615371361,2122773.8444131888,2179430.737008253,2247080.4613143182,5.399617716395923,15.187347495725499,101229.49263335158,1.0
hash_sample_8000,8000,527538.628201091,267094.9534409188,235308.5099609918,265184.74348027795,306599.43320424255,5.405508404482645,15.308202801298302,100812.84169310764,0.10520501827937193
